,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,nic_value,nic_messages
0,1618945213,aa2e36,36.37549966068591,-104.6386394094913,193.5868562071665,301.7471504573911,0.65024,,False,False,False,,10980.42,11049.0,1618945212.058,1618945212.559,1618945200,9,1
1,1618945214,aa2e36,36.37549966068591,-104.6386394094913,193.5868562071665,301.7471504573911,0.65024,,False,False,False,,10980.42,11049.0,1618945212.058,1618945212.559,1618945200,9,1
2,1618945215,aa2e36,36.37824624271716,-104.6441325735538,193.5868562071665,301.7471504573911,0.65024,,False,False,False,,10980.42,11049.0,1618945214.904,1618945214.904,1618945200,9,1
3,1618945216,aa2e36,36.37870788574219,-104.6450614929199,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10980.42,11056.62,1618945215.568,1618945215.569,1618945200,9,1
4,1618945217,aa2e36,36.37962341308594,-104.6468353271484,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10980.42,11056.62,1618945216.566,1618945216.566,1618945200,9,1
5,1618945218,aa2e36,36.38017272949219,-104.6479797363281,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10980.42,11056.62,1618945217.062,1618945217.062,1618945200,9,1
6,1618945219,aa2e36,36.38017272949219,-104.6479797363281,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10980.42,11056.62,1618945217.062,1618945217.062,1618945200,9,1
7,1618945220,aa2e36,36.38248249635858,-104.6525476333943,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10972.8,11056.62,1618945219.561,1618945219.731,1618945200,9,1
8,1618945221,aa2e36,36.38336698887711,-104.6543592087766,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10972.8,11049.0,1618945220.563,1618945220.894,1618945200,9,1
9,1618945222,aa2e36,36.38392561573093,-104.6554110912566,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10972.8,11049.0,1618945221.227,1618945221.227,1618945200,9,1
10,1618945223,aa2e36,36.38392561573093,-104.6554110912566,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10972.8,11049.0,1618945221.227,1618945221.227,1618945200,9,1
11,1618945224,aa2e36,36.38578770524364,-104.6590926799368,193.1495738182102,301.8274465766731,0.0,,False,False,False,,10972.8,11049.0,1618945223.236,1618945223.401,1618945200,9,1
12,1618945225,aa2e36,36.38704461566472,-104.6616639482214,192.7126724981951,301.9081069356532,0.32512,SKW3234,False,False,False,,10972.8,11049.0,1618945224.575,1618945224.74,1618945200,9,1
13,1618945226,aa2e36,36.38704461566472,-104.6616639482214,192.7126724981951,301.9081069356532,0.32512,SKW3234,False,False,False,,10972.8,11049.0,1618945224.575,1618945225.24,1618945200,9,1
14,1618945227,aa2e36,36.38704461566472,-104.6616639482214,192.7126724981951,301.9081069356532,0.32512,SKW3234,False,False,False,,10972.8,11049.0,1618945224.575,1618945226.915,1618945200,9,1
15,1618945228,aa2e36,36.38704461566472,-104.6616639482214,192.7126724981951,301.9081069356532,0.32512,SKW3234,False,False,False,,10972.8,11049.0,1618945224.575,1618945227.249,1618945200,9,1
16,1618945229,aa2e36,36.39072224245233,-104.6689102497506,192.7126724981951,301.9081069356532,0.32512,SKW3234,False,False,False,,10980.42,11049.0,1618945228.585,1618945228.916,1618945200,9,1
17,1618945230,aa2e36,36.39165328720868,-104.670721825133,192.7126724981951,301.9081069356532,0.0,SKW3234,False,False,False,,10980.42,11056.62,1618945229.593,1618945229.593,1618945200,9,1
18,1618945231,aa2e36,36.39216536182468,-104.6718321455286,192.7126724981951,301.9081069356532,0.0,SKW3234,False,False,False,,10980.42,11056.62,1618945230.256,1618945230.256,1618945200,9,1
